s,kappa,dt,refline/x,refline/y,refline/z,refline/v,inner_edge/x,inner_edge/y,outer_edge/x,outer_edge/y,e_min,e_max,image,image_metadata,seq_num,course_id,name,t
2052.0,0.006557057824670951,0.13842762864775848,-776.8017259056738,-414.8993098097802,61.9692354956642,37.12938609047721,-784.0665020926407,-416.8343874254306,-776.2174511078728,-414.74374602087096,-0.6046314075182415,7.518107060565535,,,8,1,8,72.1804535786236
2053.0,0.006570745496913194,0.13790037341498623,-777.0480036447123,-413.9373487377294,61.9692354956642,37.09396124404204,-784.2758637293285,-415.8127956693593,-776.3993053039583,-413.77009286258374,-0.6699491825010319,7.467565061833274,,,8,1,8,72.22183771864746
2054.0,0.00658442771296844,0.1373727278583548,-777.2931645296056,-412.97497211365675,61.9692354956642,37.058577980824445,-784.4833965875201,-414.7906991140737,-776.5792545843899,-412.7959600827429,-0.736049895708194,7.4163700912355255,,,8,1,8,72.26319286817409
2055.0,0.006598109929023686,0.13684508230172335,-777.5383254144991,-412.01259548958416,61.9692354956642,37.02319471760684,-784.6909294457117,-413.7686025587881,-776.7592038648215,-411.8218273029021,-0.8021506089153561,7.365175120637778,,,8,1,8,72.30454801770071
2056.0,0.006612288530266411,0.13631581213305716,-777.7710922955051,-411.0455590810776,61.9692354956642,36.98886820168751,-784.8731253066701,-412.74014124368097,-776.915061614742,-410.84237927358834,-0.8798513447691384,7.301668920889353,,,8,1,8,72.34556352201757
2057.0,0.006626745596849458,0.13578563057913096,-777.9969063088644,-410.07590859686746,61.9692354956642,36.95513450663283,-785.0411074567137,-411.70810938486204,-777.0574043436425,-409.8599494615972,-0.9640595355903872,7.231256288995682,,,8,1,8,72.38638848999025
2058.0,0.006641202663432505,0.13525544902520473,-778.2227203222235,-409.1062581126573,61.9692354956642,36.92140081157816,-785.2090896067572,-410.67607752604306,-777.199747072543,-408.87751964960603,-1.048267726411636,7.160843657102012,,,8,1,8,72.42721345796295
2059.0,0.006655404289882982,0.13472509968341448,-778.4411919837211,-408.13409827986936,61.9692354956642,36.88876438991858,-785.3643629115392,-409.6413730405696,-777.3320432880353,-407.89333780474726,-1.1350089582430818,7.0855012705034435,,,8,1,8,72.46786001944933
2060.0,0.006669101534678705,0.1341944190345596,-778.6451657370612,-407.15698358985014,61.9692354956642,36.858294599497285,-785.4945418494393,-408.6013912956419,-777.4445020684054,-406.90569646733326,-1.2267518294153552,7.000424791573411,,,8,1,8,72.50815430677316
2061.0,0.006682798779474428,0.13366373838570467,-778.8491394904013,-406.179868899831,61.9692354956642,36.82782480907599,-785.6247207873396,-407.56140955071425,-777.5569608487756,-405.9180551299192,-1.3184947005876284,6.915348312643379,,,8,1,8,72.54844859409701
2062.0,0.006696396363311697,0.1331331094392885,-779.0523737741948,-405.2025228839123,61.9692354956642,36.797481387754495,-785.7536528918231,-406.5212159162328,-777.6686796723434,-404.9303159420905,-1.4102188774227495,6.829809799203163,,,8,1,8,72.58872608509091
2063.0,0.006706954479400622,0.1326040573179148,-779.2330556576037,-404.2181218725201,61.9692354956642,36.77099198117648,-785.8445589727149,-405.4745600574772,-777.7578312351637,-403.93959250461864,-1.5013729128932582,6.73018012093646,,,8,1,8,72.62849132029338
2064.0,0.006717512595489547,0.1320750051965411,-779.4137375410127,-403.2337208611279,61.9692354956642,36.74450257459846,-785.9354650536068,-404.42790419872165,-777.8469827979841,-402.94886906714686,-1.592526948363767,6.630550442669756,,,8,1,8,72.66825655549584
2065.0,0.0067280707115784716,0.13154595307516745,-779.5944194244216,-402.2493198497357,61.9692354956642,36.71801316802044,-786.0263711344986,-403.3812483399661,-777.9361343608044,-401.958145629675,-1.6836809838342757,6.530920764403053,,,8,1,8,72.70802179069831
2066.0,0.006735768903238754,0.13102067210097018,-779.7570256096291,-401.25984386555183,61.9692354956642,36.69374527447009,-786.0844656399595,-402.33032456742865,-777.9944086640564,-400.9634637587061,-1.7874459504617262,6.417619578057208,,,8,1,8,72.74740601126767
2067.0,0.006742394833775311,0.13049680502934624,-779.9128547386769,-400.26846514017177,61.9692354956642,36.67031028476558,-786.1302582201,-401.2778006414109,-778.0411062680394,-399.96729776658094,-1.8959390879031184,6.299192582627328,,,8,1,8,72.78664737939852
2068.0,0.006749020764311867,0.1299729379577223,-780.0686838677246,-399.2770864147917,61.9692354956642,36.646875295061065,-786.1760508002404,-400.22527671539325,-778.0878038720223,-398.9711317744558,-2.0044322253445106,6.18076558719745,,,8,1,8,72.82588874752935
2069.0,0.006754391566309729,0.12945262637104363,-780.2150770969574,-398.2830386561757,61.9692354956642,36.6239631868071,-786.2064509499774,-399.1712026827462,-778.114892142347,-397.97322551029976,-2.122984492925273,6.057014303357581,,,8,1,8,72.86491214066571
2070.0,0.006758049415371452,0.12893716717851308,-780.3485925596549,-397.2853482998676,61.9692354956642,36.60176468778787,-786.2158440808779,-398.1150131219916,-778.1152183204797,-396.9729441873405,-2.2552650887019525,5.925996627922281,,,8,1,8,72.90363804960403
2071.0,0.006761707264433174,0.12842170798598254,-780.4821080223525,-396.2876579435596,61.9692354956642,36.57956618876864,-786.2252372117784,-397.0588235612369,-778.1155444986123,-395.9726628643812,-2.3875456844786322,5.794978952486981,,,8,1,8,72.94236395854233
2072.0,0.006765244157148561,0.1279075610931679,-780.6132203637698,-395.289340199764,61.9692354956642,36.55738433597528,-786.2295776161955,-396.00247457857387,-778.1106468643118,-394.9721607817672,-2.5226199459169116,5.66149737483943,,,8,1,8,72.98103012927595
2073.0,0.006767880752394062,0.12740318185744387,-780.7264458883812,-394.2863527103549,61.9692354956642,36.53532638370882,-786.1963097676606,-394.94493899309737,-778.0668675569182,-393.9700155496641,-2.6784879085791378,5.509676578168359,,,8,1,8,73.01925165897853
2074.0,0.006770517347639563,0.12689880262171985,-780.8396714129929,-393.2833652209457,61.9692354956642,36.51326843144236,-786.1630419191258,-393.8874034076209,-778.0230882495246,-392.96787031756094,-2.834355871241364,5.357855781497289,,,8,1,8,73.05747318868112
2075.0,0.006773153942885065,0.12639442338599582,-780.9528969376045,-392.28037773153653,61.9692354956642,36.4912104791759,-786.129774070591,-392.8298678221444,-777.979308942131,-391.96572508545785,-2.99022383390359,5.206034984826218,,,8,1,8,73.0956947183837
2076.0,0.006775621302111389,0.12590068676936766,-781.0491455592543,-391.2740581717238,61.9692354956642,36.46918142829392,-786.0689973966568,-391.7736672779176,-777.9035097228114,-390.96486213141947,-3.1609603878910626,5.044881660663927,,,8,1,8,73.13351632461395
2077.0,0.006778049991405103,0.12540938195989984,-781.1415150085113,-390.2669772436245,61.9692354956642,36.44715898129329,-786.0019350370302,-390.7177717866896,-777.8203940477965,-389.9642921741474,-3.335094371263481,4.881595881419584,,,8,1,8,73.17124654950707
2078.0,0.006780478680698818,0.124918077150432,-781.2338844577685,-389.2598963155252,61.9692354956642,36.425136534292655,-785.9348726774035,-389.6618762954615,-777.7372783727817,-388.9637222168752,-3.509228354635899,4.718310102175241,,,8,1,8,73.2089767744002
2079.0,0.006783220255490771,0.1244330491475315,-781.3151625212315,-388.25140923702946,61.9692354956642,36.40313780661652,-785.8431458465845,-388.6075199005684,-777.6409340754763,-387.96571212253855,-3.6854577803245077,4.5421044399771375,,,8,1,8,73.24646292364656
2080.0,0.006786262967727202,0.12395406227309427,-781.3857656521951,-387.2415688055043,61.9692354956642,36.381161907664634,-785.7276806326638,-387.55464481286174,-777.5318578569633,-386.97016577480224,-3.8637039698059272,4.353464003532477,,,8,1,8,73.28371416166524
2081.0,0.006789305679963632,0.12347507539865704,-781.4563687831588,-386.23172837397914,61.9692354956642,36.35918600871275,-785.612215418743,-386.5017697251551,-777.4227816384503,-385.97461942706593,-4.041950159287347,4.164823567087817,,,8,1,8,73.32096539968393
2082.0,0.006792635237191163,0.12299251046935274,-781.5223819034229,-385.22161445753665,61.9692354956642,36.337218257769564,-785.4911766120504,-385.45034083325396,-777.3104707417176,-384.98053308504694,-4.2188767258930655,3.9754320672865533,,,8,1,8,73.35811480499343
2083.0,0.006797076305431297,0.1224960807436886,-781.5706089454951,-384.21044079974655,61.9692354956642,36.31528207998151,-785.348540392338,-384.4045158829032,-777.185625617179,-383.992104197345,-4.390689815170159,3.78313023187572,,,8,1,8,73.39486961328645
2084.0,0.0068015173736714315,0.12199965101802447,-781.6188359875672,-383.1992671419565,61.9692354956642,36.29334590219345,-785.2059041726257,-383.3586909325524,-777.0607804926403,-383.00367530964303,-4.5625029044472525,3.590828396464887,,,8,1,8,73.43162442157947
2085.0,0.0068059584419115655,0.12150322129236034,-781.6670630296394,-382.1880934841665,61.9692354956642,36.271409724405395,-785.0632679529134,-382.3128659822017,-776.9359353681018,-382.01524642194113,-4.734315993724346,3.3985265610540534,,,8,1,8,73.46837922987248
2086.0,0.006811972046343308,0.12092894295687774,-781.6947378008198,-381.17699398034927,61.9692354956642,36.24950544691917,-784.8988979589662,-381.2749754973791,-776.7918307561948,-381.0340589886319,-4.9052579166434125,3.2058082824930487,,,8,1,8,73.50460905835041
